Pass Number,Observer,Time (UTCGregorian),Azimuth (deg),Elevation (deg),Range (km)
6,AntenaLDTEA,18 Dec 2023 17:54:20.209,69.359,17.651,1040.439
6,AntenaLDTEA,18 Dec 2023 17:55:20.209,71.204,9.573,1436.058
6,AntenaLDTEA,18 Dec 2023 17:55:46.555,71.697,7.000,1613.097
7,AntenaLDTEA,18 Dec 2023 19:27:07.037,283.877,7.000,1612.348
7,AntenaLDTEA,18 Dec 2023 19:28:07.037,294.928,11.875,1301.019
7,AntenaLDTEA,18 Dec 2023 19:29:07.037,312.487,17.012,1065.054
7,AntenaLDTEA,18 Dec 2023 19:30:07.037,337.617,19.921,962.724
7,AntenaLDTEA,18 Dec 2023 19:31:07.037,3.661,17.833,1034.793
7,AntenaLDTEA,18 Dec 2023 19:32:07.037,22.664,12.853,1251.171
7,AntenaLDTEA,18 Dec 2023 19:33:07.037,34.696,7.867,1551.938
7,AntenaLDTEA,18 Dec 2023 19:33:18.459,36.427,7.000,1614.993
8,AntenaLDTEA,19 Dec 2023 10:17:30.387,317.169,7.000,1626.984
8,AntenaLDTEA,19 Dec 2023 10:18:30.387,326.582,12.336,1288.772
8,AntenaLDTEA,19 Dec 2023 10:19:30.387,342.620,18.760,1011.000
8,AntenaLDTEA,19 Dec 2023 10:20:30.387,9.031,23.940,856.416
8,AntenaLDTEA,19 Dec 2023 10:21:30.387,40.150,22.557,892.347
8,AntenaLDTEA,19 Dec 2023 10:22:30.387,62.665,16.341,1100.241
8,AntenaLDTEA,19 Dec 2023 10:23:30.387,75.833,10.222,1405.221
8,AntenaLDTEA,19 Dec 2023 10:24:08.044,81.202,7.000,1622.235
9,AntenaLDTEA,19 Dec 2023 11:55:15.235,283.887,7.000,1623.468
9,AntenaLDTEA,19 Dec 2023 11:56:15.235,283.973,13.589,1221.945
9,AntenaLDTEA,19 Dec 2023 11:57:15.235,284.220,24.693,835.674
9,AntenaLDTEA,19 Dec 2023 11:58:15.235,285.279,49.489,504.543
9,AntenaLDTEA,19 Dec 2023 11:59:15.235,97.127,74.807,404.547
9,AntenaLDTEA,19 Dec 2023 12:00:15.235,101.970,34.481,652.710
9,AntenaLDTEA,19 Dec 2023 12:01:15.235,102.433,18.344,1020.104
9,AntenaLDTEA,19 Dec 2023 12:02:15.235,102.565,9.972,1415.951
9,AntenaLDTEA,19 Dec 2023 12:02:45.202,102.589,7.000,1617.503
10,AntenaLDTEA,19 Dec 2023 13:33:44.976,260.562,7.000,1618.759
10,AntenaLDTEA,19 Dec 2023 13:34:44.976,255.089,13.215,1236.140
10,AntenaLDTEA,19 Dec 2023 13:35:44.976,244.352,22.654,884.638
10,AntenaLDTEA,19 Dec 2023 13:36:44.976,217.797,36.657,622.155
10,AntenaLDTEA,19 Dec 2023 13:37:44.976,163.818,39.752,585.787
10,AntenaLDTEA,19 Dec 2023 13:38:44.976,130.040,25.724,806.816
10,AntenaLDTEA,19 Dec 2023 13:39:44.976,116.883,15.114,1144.214
10,AntenaLDTEA,19 Dec 2023 13:40:44.976,110.528,8.285,1521.608
10,AntenaLDTEA,19 Dec 2023 13:40:59.149,109.487,7.000,1613.473
11,AntenaLDTEA,19 Dec 2023 15:12:14.074,250.637,7.000,1614.217
11,AntenaLDTEA,19 Dec 2023 15:13:14.074,244.867,13.189,1233.516
11,AntenaLDTEA,19 Dec 2023 15:14:14.074,233.603,22.504,885.691
11,AntenaLDTEA,19 Dec 2023 15:15:14.074,206.417,35.838,630.409
11,AntenaLDTEA,19 Dec 2023 15:16:14.074,154.370,38.146,601.723
11,AntenaLDTEA,19 Dec 2023 15:17:14.074,121.696,24.888,823.747
11,AntenaLDTEA,19 Dec 2023 15:18:14.074,108.483,14.693,1160.002
11,AntenaLDTEA,19 Dec 2023 15:19:14.074,101.993,8.027,1536.400
11,AntenaLDTEA,19 Dec 2023 15:19:25.529,101.120,7.000,1610.442
12,AntenaLDTEA,19 Dec 2023 16:50:29.090,256.121,7.000,1610.804
12,AntenaLDTEA,19 Dec 2023 16:51:29.090,255.430,13.631,1209.075
12,AntenaLDTEA,19 Dec 2023 16:52:29.090,254.043,24.880,823.099
12,AntenaLDTEA,19 Dec 2023 16:53:29.090,249.100,50.189,494.791
12,AntenaLDTEA,19 Dec 2023 16:54:29.090,98.597,71.605,406.967
12,AntenaLDTEA,19 Dec 2023 16:55:29.090,82.149,33.333,663.471
12,AntenaLDTEA,19 Dec 2023 16:56:29.090,79.973,17.774,1033.154
12,AntenaLDTEA,19 Dec 2023 16:57:29.090,79.079,9.612,1429.930
12,AntenaLDTEA,19 Dec 2023 16:57:55.692,78.824,7.000,1609.044
13,AntenaLDTEA,19 Dec 2023 18:29:01.927,276.189,7.000,1608.839
13,AntenaLDTEA,19 Dec 2023 18:30:01.927,284.868,12.628,1257.601
13,AntenaLDTEA,19 Dec 2023 18:31:01.927,300.371,19.854,961.266
13,AntenaLDTEA,19 Dec 2023 18:32:01.927,328.188,26.463,786.364
13,AntenaLDTEA,19 Dec 2023 18:33:01.927,3.039,25.149,815.895
13,AntenaLDTEA,19 Dec 2023 18:34:01.927,27.181,17.793,1032.302
13,AntenaLDTEA,19 Dec 2023 18:35:01.927,40.361,10.978,1347.768
13,AntenaLDTEA,19 Dec 2023 18:35:46.005,46.270,7.000,1609.287
14,AntenaLDTEA,20 Dec 2023 09:19:59.995,327.322,7.000,1633.716
14,AntenaLDTEA,20 Dec 2023 09:20:59.995,338.947,11.508,1340.034
14,AntenaLDTEA,20 Dec 2023 09:21:59.995,356.515,15.893,1126.362
14,AntenaLDTEA,20 Dec 2023 09:22:59.995,20.043,17.970,1044.234
14,AntenaLDTEA,20 Dec 2023 09:23:59.995,43.645,15.938,1123.320
14,AntenaLDTEA,20 Dec 2023 09:24:59.995,61.335,11.552,1335.095
14,AntenaLDTEA,20 Dec 2023 09:25:59.995,73.039,7.023,1628.001
14,AntenaLDTEA,20 Dec 2023 09:26:00.311,73.089,7.000,1629.688
15,AntenaLDTEA,20 Dec 2023 10:57:24.541,291.172,7.000,1630.712
15,AntenaLDTEA,20 Dec 2023 10:58:24.541,293.333,13.505,1232.433
15,AntenaLDTEA,20 Dec 2023 10:59:24.541,297.894,24.227,852.015
15,AntenaLDTEA,20 Dec 2023 11:00:24.541,312.987,46.130,532.607
15,AntenaLDTEA,20 Dec 2023 11:01:24.541,46.663,62.478,440.473
15,AntenaLDTEA,20 Dec 2023 11:02:24.541,87.160,33.127,676.317
15,AntenaLDTEA,20 Dec 2023 11:03:24.541,94.816,18.054,1035.761
15,AntenaLDTEA,20 Dec 2023 11:04:24.541,97.847,9.882,1427.497
15,AntenaLDTEA,20 Dec 2023 11:04:53.906,98.740,7.000,1623.668
16,AntenaLDTEA,20 Dec 2023 12:35:48.320,265.306,7.000,1625.378
16,AntenaLDTEA,20 Dec 2023 12:36:48.320,260.761,13.311,1237.034
16,AntenaLDTEA,20 Dec 2023 12:37:48.320,251.693,23.182,874.837
16,AntenaLDTEA,20 Dec 2023 12:38:48.320,227.291,39.507,591.843
16,AntenaLDTEA,20 Dec 2023 12:39:48.320,165.542,45.364,535.535
16,AntenaLDTEA,20 Dec 2023 12:40:48.320,128.508,28.173,758.395
16,AntenaLDTEA,20 Dec 2023 12:41:48.320,116.081,16.209,1101.909
16,AntenaLDTEA,20 Dec 2023 12:42:48.320,110.400,8.911,1483.690
16,AntenaLDTEA,20 Dec 2023 12:43:08.774,109.115,7.000,1617.633
17,AntenaLDTEA,20 Dec 2023 14:14:21.041,251.675,7.000,1618.938
17,AntenaLDTEA,20 Dec 2023 14:15:21.041,245.517,13.103,1241.677
17,AntenaLDTEA,20 Dec 2023 14:16:21.041,233.664,22.106,899.533
17,AntenaLDTEA,20 Dec 2023 14:17:21.041,206.361,34.327,652.845
17,AntenaLDTEA,20 Dec 2023 14:18:21.041,157.584,36.119,628.106
17,AntenaLDTEA,20 Dec 2023 14:19:21.041,125.841,24.080,845.130
17,AntenaLDTEA,20 Dec 2023 14:20:21.041,112.243,14.370,1176.486
17,AntenaLDTEA,20 Dec 2023 14:21:21.041,105.413,7.860,1549.666
17,AntenaLDTEA,20 Dec 2023 14:21:30.741,104.624,7.000,1611.925
18,AntenaLDTEA,20 Dec 2023 15:52:38.536,253.417,7.000,1612.956
18,AntenaLDTEA,20 Dec 2023 15:53:38.536,250.980,13.548,1214.585
18,AntenaLDTEA,20 Dec 2023 15:54:38.536,245.935,24.429,834.735
18,AntenaLDTEA,20 Dec 2023 15:55:38.536,229.154,46.784,519.215
18,AntenaLDTEA,20 Dec 2023 15:56:38.536,134.285,60.276,442.062
18,AntenaLDTEA,20 Dec 2023 15:57:38.536,97.036,31.675,688.912
18,AntenaLDTEA,20 Dec 2023 15:58:38.536,89.386,17.260,1051.672
18,AntenaLDTEA,20 Dec 2023 15:59:38.536,86.207,9.359,1444.691
18,AntenaLDTEA,20 Dec 2023 16:00:02.877,85.385,7.000,1607.490
19,AntenaLDTEA,20 Dec 2023 17:31:02.251,269.749,7.000,1608.080
19,AntenaLDTEA,20 Dec 2023 17:32:02.251,275.940,13.146,1230.275
19,AntenaLDTEA,20 Dec 2023 17:33:02.251,288.074,22.221,889.176
19,AntenaLDTEA,20 Dec 2023 17:34:02.251,316.214,34.290,648.095
19,AntenaLDTEA,20 Dec 2023 17:35:02.251,4.727,35.228,634.986
19,AntenaLDTEA,20 Dec 2023 17:36:02.251,35.196,23.260,860.325
19,AntenaLDTEA,20 Dec 2023 17:37:02.251,48.262,13.822,1195.586
19,AntenaLDTEA,20 Dec 2023 17:38:02.251,54.829,7.467,1571.021
19,AntenaLDTEA,20 Dec 2023 17:38:07.564,55.252,7.000,1605.240
20,AntenaLDTEA,20 Dec 2023 19:10:48.108,307.688,7.000,1604.865
20,AntenaLDTEA,20 Dec 2023 19:11:48.108,322.892,9.276,1447.135
20,AntenaLDTEA,20 Dec 2023 19:12:48.108,340.534,10.027,1400.007
20,AntenaLDTEA,20 Dec 2023 19:13:48.108,357.820,8.860,1474.223
20,AntenaLDTEA,20 Dec 2023 19:14:34.456,9.280,7.000,1604.778
21,AntenaLDTEA,21 Dec 2023 08:22:39.708,339.144,7.000,1639.573
21,AntenaLDTEA,21 Dec 2023 08:23:39.708,352.712,10.409,1409.609
21,AntenaLDTEA,21 Dec 2023 08:24:39.708,10.570,12.778,1277.073
21,AntenaLDTEA,21 Dec 2023 08:25:39.708,30.599,12.840,1273.454
21,AntenaLDTEA,21 Dec 2023 08:26:39.708,48.653,10.551,1399.861
21,AntenaLDTEA,21 Dec 2023 08:27:39.708,62.444,7.154,1625.906
21,AntenaLDTEA,21 Dec 2023 08:27:42.302,62.944,7.000,1637.346
22,AntenaLDTEA,21 Dec 2023 09:59:37.023,298.964,7.000,1637.828
22,AntenaLDTEA,21 Dec 2023 10:00:37.023,303.357,13.290,1249.462
22,AntenaLDTEA,21 Dec 2023 10:01:37.023,312.180,23.076,886.990
22,AntenaLDTEA,21 Dec 2023 10:02:37.023,335.829,39.205,602.121
22,AntenaLDTEA,21 Dec 2023 10:03:37.023,36.481,45.734,538.897
22,AntenaLDTEA,21 Dec 2023 10:04:37.023,74.335,28.766,755.471
22,AntenaLDTEA,21 Dec 2023 10:05:37.023,86.980,16.621,1096.570
22,AntenaLDTEA,21 Dec 2023 10:06:37.023,92.647,9.206,1477.534
22,AntenaLDTEA,21 Dec 2023 10:07:00.487,94.074,7.000,1631.167
23,AntenaLDTEA,21 Dec 2023 11:37:51.738,270.784,7.000,1633.024
23,AntenaLDTEA,21 Dec 2023 11:38:51.738,267.476,13.412,1238.808
23,AntenaLDTEA,21 Dec 2023 11:39:51.738,260.772,23.746,865.428
23,AntenaLDTEA,21 Dec 2023 11:40:51.738,240.788,43.094,559.458
23,AntenaLDTEA,21 Dec 2023 11:41:51.738,165.373,54.326,478.080
23,AntenaLDTEA,21 Dec 2023 11:42:51.738,124.194,31.397,704.303
23,AntenaLDTEA,21 Dec 2023 11:43:51.738,113.623,17.530,1055.636
23,AntenaLDTEA,21 Dec 2023 11:44:51.738,109.126,9.646,1442.584
23,AntenaLDTEA,21 Dec 2023 11:45:19.127,107.829,7.000,1623.926
24,AntenaLDTEA,21 Dec 2023 13:16:26.358,253.708,7.000,1625.693
24,AntenaLDTEA,21 Dec 2023 13:17:26.358,247.505,13.066,1249.326
24,AntenaLDTEA,21 Dec 2023 13:18:26.358,235.641,21.958,908.226
24,AntenaLDTEA,21 Dec 2023 13:19:26.358,208.668,33.925,661.914
24,AntenaLDTEA,21 Dec 2023 13:20:26.358,160.745,35.881,634.213
24,AntenaLDTEA,21 Dec 2023 13:21:26.358,128.873,24.149,846.966
24,AntenaLDTEA,21 Dec 2023 13:22:26.358,115.032,14.476,1175.700
24,AntenaLDTEA,21 Dec 2023 13:23:26.358,108.058,7.953,1547.366
24,AntenaLDTEA,21 Dec 2023 13:23:37.101,107.168,7.000,1616.139
25,AntenaLDTEA,21 Dec 2023 14:54:47.781,251.602,7.000,1617.702
25,AntenaLDTEA,21 Dec 2023 14:55:47.781,247.758,13.411,1225.053
25,AntenaLDTEA,21 Dec 2023 14:56:47.781,239.951,23.704,855.498
25,AntenaLDTEA,21 Dec 2023 14:57:47.781,217.157,42.211,559.974
25,AntenaLDTEA,21 Dec 2023 14:58:47.781,146.264,49.948,497.624
25,AntenaLDTEA,21 Dec 2023 14:59:47.781,108.266,29.322,731.008
25,AntenaLDTEA,21 Dec 2023 15:00:47.781,97.264,16.499,1082.909
25,AntenaLDTEA,21 Dec 2023 15:01:47.781,92.416,8.994,1469.715
25,AntenaLDTEA,21 Dec 2023 15:02:08.817,91.302,7.000,1608.783
26,AntenaLDTEA,21 Dec 2023 16:33:06.192,264.339,7.000,1610.204
26,AntenaLDTEA,21 Dec 2023 16:34:06.192,268.074,13.452,1216.632
26,AntenaLDTEA,21 Dec 2023 16:35:06.192,275.878,23.860,846.629
26,AntenaLDTEA,21 Dec 2023 16:36:06.192,299.276,42.610,552.880
26,AntenaLDTEA,21 Dec 2023 16:37:06.192,10.923,49.376,498.569
26,AntenaLDTEA,21 Dec 2023 16:38:06.192,47.465,28.706,738.694
26,AntenaLDTEA,21 Dec 2023 16:39:06.192,58.028,16.117,1093.497
26,AntenaLDTEA,21 Dec 2023 16:40:06.192,62.651,8.729,1481.924
26,AntenaLDTEA,21 Dec 2023 16:40:24.534,63.579,7.000,1603.510
27,AntenaLDTEA,21 Dec 2023 18:12:16.836,294.312,7.000,1603.617
27,AntenaLDTEA,21 Dec 2023 18:13:16.836,307.803,10.747,1355.404
27,AntenaLDTEA,21 Dec 2023 18:14:16.836,326.304,13.575,1204.703
27,AntenaLDTEA,21 Dec 2023 18:15:16.836,347.766,13.878,1189.770
27,AntenaLDTEA,21 Dec 2023 18:16:16.836,7.175,11.427,1315.219
27,AntenaLDTEA,21 Dec 2023 18:17:16.836,21.672,7.747,1546.788
27,AntenaLDTEA,21 Dec 2023 18:17:28.603,23.956,7.000,1600.991
28,AntenaLDTEA,22 Dec 2023 07:25:38.778,354.768,7.000,1644.108
28,AntenaLDTEA,22 Dec 2023 07:26:38.778,9.797,8.868,1511.965
28,AntenaLDTEA,22 Dec 2023 07:27:38.778,26.552,9.240,1487.467
28,AntenaLDTEA,22 Dec 2023 07:28:38.778,42.570,7.936,1575.833
28,AntenaLDTEA,22 Dec 2023 07:29:04.297,48.634,7.000,1643.944
29,AntenaLDTEA,22 Dec 2023 09:01:53.646,307.313,7.000,1643.934
29,AntenaLDTEA,22 Dec 2023 09:02:53.646,314.024,12.918,1274.012
29,AntenaLDTEA,22 Dec 2023 09:03:53.646,326.582,21.260,943.440
29,AntenaLDTEA,22 Dec 2023 09:04:53.646,353.054,31.506,711.735
29,AntenaLDTEA,22 Dec 2023 09:05:53.646,35.777,32.914,688.685
29,AntenaLDTEA,22 Dec 2023 09:06:53.646,65.910,23.059,890.794
29,AntenaLDTEA,22 Dec 2023 09:07:53.646,80.206,14.169,1209.570
29,AntenaLDTEA,22 Dec 2023 09:08:53.646,87.630,7.883,1574.899
29,AntenaLDTEA,22 Dec 2023 09:09:03.802,88.531,7.000,1639.095
30,AntenaLDTEA,22 Dec 2023 10:39:56.047,276.897,7.000,1640.697
30,AntenaLDTEA,22 Dec 2023 10:40:56.047,275.111,13.489,1241.921
30,AntenaLDTEA,22 Dec 2023 10:41:56.047,271.473,24.190,859.675
30,AntenaLDTEA,22 Dec 2023 10:42:56.047,259.601,46.502,534.079
30,AntenaLDTEA,22 Dec 2023 10:43:56.047,157.596,67.463,427.650
30,AntenaLDTEA,22 Dec 2023 10:44:56.047,115.782,34.761,657.605
30,AntenaLDTEA,22 Dec 2023 10:45:56.047,109.192,18.790,1016.334
30,AntenaLDTEA,22 Dec 2023 10:46:56.047,106.577,10.331,1407.818
30,AntenaLDTEA,22 Dec 2023 10:47:29.554,105.690,7.000,1631.641
31,AntenaLDTEA,22 Dec 2023 12:18:30.205,256.699,7.000,1633.690
31,AntenaLDTEA,22 Dec 2023 12:19:30.205,250.779,13.082,1255.581
31,AntenaLDTEA,22 Dec 2023 12:20:30.205,239.432,22.065,910.864
31,AntenaLDTEA,22 Dec 2023 12:21:30.205,213.149,34.572,656.990
31,AntenaLDTEA,22 Dec 2023 12:22:30.205,163.919,37.346,619.730
31,AntenaLDTEA,22 Dec 2023 12:23:30.205,130.809,25.095,828.980
31,AntenaLDTEA,22 Dec 2023 12:24:30.205,116.826,15.012,1157.535
31,AntenaLDTEA,22 Dec 2023 12:25:30.205,109.897,8.303,1529.546
31,AntenaLDTEA,22 Dec 2023 12:25:44.714,108.729,7.000,1622.626
32,AntenaLDTEA,22 Dec 2023 13:56:56.216,250.718,7.000,1624.568
32,AntenaLDTEA,22 Dec 2023 13:57:56.216,245.823,13.262,1238.250
32,AntenaLDTEA,22 Dec 2023 13:58:56.216,236.135,22.947,879.697
32,AntenaLDTEA,22 Dec 2023 13:59:56.216,210.916,38.349,603.539
32,AntenaLDTEA,22 Dec 2023 14:00:56.216,152.392,43.141,553.369
32,AntenaLDTEA,22 Dec 2023 14:01:56.216,116.460,27.256,774.633
32,AntenaLDTEA,22 Dec 2023 14:02:56.216,103.654,15.794,1115.646
32,AntenaLDTEA,22 Dec 2023 14:03:56.216,97.687,8.661,1495.835
32,AntenaLDTEA,22 Dec 2023 14:04:14.157,96.484,7.000,1612.912
33,AntenaLDTEA,22 Dec 2023 15:35:12.452,259.862,7.000,1615.023
33,AntenaLDTEA,22 Dec 2023 15:36:12.452,261.303,13.580,1214.260
33,AntenaLDTEA,22 Dec 2023 15:37:12.452,264.451,24.639,830.138
33,AntenaLDTEA,22 Dec 2023 15:38:12.452,275.820,48.632,505.677
33,AntenaLDTEA,22 Dec 2023 15:39:12.452,31.615,66.653,419.537
33,AntenaLDTEA,22 Dec 2023 15:40:12.452,63.747,32.761,671.105
33,AntenaLDTEA,22 Dec 2023 15:41:12.452,68.822,17.577,1038.140
33,AntenaLDTEA,22 Dec 2023 15:42:12.452,70.812,9.491,1433.720
33,AntenaLDTEA,22 Dec 2023 15:42:37.866,71.327,7.000,1604.516
34,AntenaLDTEA,22 Dec 2023 17:14:01.577,284.443,7.000,1605.571
34,AntenaLDTEA,22 Dec 2023 17:15:01.577,295.708,11.808,1296.968
34,AntenaLDTEA,22 Dec 2023 17:16:01.577,313.502,16.788,1065.668
34,AntenaLDTEA,22 Dec 2023 17:17:01.577,338.621,19.434,969.833
34,AntenaLDTEA,22 Dec 2023 17:18:01.577,4.263,17.211,1047.662
34,AntenaLDTEA,22 Dec 2023 17:19:01.577,22.893,12.293,1267.253
34,AntenaLDTEA,22 Dec 2023 17:20:01.577,34.737,7.406,1569.510
34,AntenaLDTEA,22 Dec 2023 17:20:06.976,35.562,7.000,1599.224
35,AntenaLDTEA,23 Dec 2023 08:04:15.608,316.361,7.000,1648.333
35,AntenaLDTEA,23 Dec 2023 08:05:15.608,325.396,12.359,1307.584
35,AntenaLDTEA,23 Dec 2023 08:06:15.608,340.800,18.903,1023.875
35,AntenaLDTEA,23 Dec 2023 08:07:15.608,6.606,24.537,857.613
35,AntenaLDTEA,23 Dec 2023 08:08:15.608,38.207,23.684,879.069
35,AntenaLDTEA,23 Dec 2023 08:09:15.608,61.635,17.428,1077.087
35,AntenaLDTEA,23 Dec 2023 08:10:15.608,75.314,11.083,1377.001
35,AntenaLDTEA,23 Dec 2023 08:11:02.422,81.962,7.000,1646.436
36,AntenaLDTEA,23 Dec 2023 09:42:02.111,283.569,7.000,1647.406
36,AntenaLDTEA,23 Dec 2023 09:43:02.111,283.563,13.513,1246.960
36,AntenaLDTEA,23 Dec 2023 09:44:02.111,283.612,24.329,861.295
36,AntenaLDTEA,23 Dec 2023 09:45:02.111,283.934,47.836,527.331
36,AntenaLDTEA,23 Dec 2023 09:46:02.111,99.983,78.880,406.964
36,AntenaLDTEA,23 Dec 2023 09:47:02.111,102.604,36.680,636.384
36,AntenaLDTEA,23 Dec 2023 09:48:02.111,102.755,19.525,997.617
36,AntenaLDTEA,23 Dec 2023 09:49:02.111,102.763,10.749,1390.694
36,AntenaLDTEA,23 Dec 2023 09:49:39.302,102.745,7.000,1639.912
37,AntenaLDTEA,23 Dec 2023 11:20:33.027,260.578,7.000,1641.954
37,AntenaLDTEA,23 Dec 2023 11:21:33.027,255.252,13.145,1259.878
37,AntenaLDTEA,23 Dec 2023 11:22:33.027,244.945,22.397,907.643
37,AntenaLDTEA,23 Dec 2023 11:23:33.027,219.888,36.223,639.343
37,AntenaLDTEA,23 Dec 2023 11:24:33.027,166.983,40.688,586.417
37,AntenaLDTEA,23 Dec 2023 11:25:33.027,131.385,26.927,793.418
37,AntenaLDTEA,23 Dec 2023 11:26:33.027,117.478,15.944,1124.515
37,AntenaLDTEA,23 Dec 2023 11:27:33.027,110.839,8.877,1498.811
37,AntenaLDTEA,23 Dec 2023 11:27:53.448,109.321,7.000,1630.674
38,AntenaLDTEA,23 Dec 2023 12:59:03.419,250.794,7.000,1632.829
38,AntenaLDTEA,23 Dec 2023 13:00:03.419,245.203,13.132,1251.989
38,AntenaLDTEA,23 Dec 2023 13:01:03.419,234.388,22.321,902.549
38,AntenaLDTEA,23 Dec 2023 13:02:03.419,208.455,35.678,640.841
38,AntenaLDTEA,23 Dec 2023 13:03:03.419,156.682,39.116,597.903
38,AntenaLDTEA,23 Dec 2023 13:04:03.419,122.494,25.865,809.532
38,AntenaLDTEA,23 Dec 2023 13:05:03.419,108.745,15.324,1141.546
38,AntenaLDTEA,23 Dec 2023 13:06:03.419,102.071,8.458,1516.022
38,AntenaLDTEA,23 Dec 2023 13:06:19.461,100.844,7.000,1619.503
39,AntenaLDTEA,23 Dec 2023 14:37:20.030,256.282,7.000,1622.060
39,AntenaLDTEA,23 Dec 2023 14:38:20.030,255.690,13.573,1220.497
39,AntenaLDTEA,23 Dec 2023 14:39:20.030,254.523,24.651,834.212
39,AntenaLDTEA,23 Dec 2023 14:40:20.030,250.500,49.357,503.336
39,AntenaLDTEA,23 Dec 2023 14:41:20.030,97.534,73.552,404.784
39,AntenaLDTEA,23 Dec 2023 14:42:20.030,81.455,34.112,654.105
39,AntenaLDTEA,23 Dec 2023 14:43:20.030,79.524,18.121,1021.937
39,AntenaLDTEA,23 Dec 2023 14:44:20.030,78.737,9.803,1418.075
39,AntenaLDTEA,23 Dec 2023 14:44:48.309,78.500,7.000,1608.366
40,AntenaLDTEA,23 Dec 2023 16:15:54.921,276.499,7.000,1610.472
40,AntenaLDTEA,23 Dec 2023 16:16:54.921,285.277,12.572,1260.476
40,AntenaLDTEA,23 Dec 2023 16:17:54.921,300.877,19.666,966.043
40,AntenaLDTEA,23 Dec 2023 16:18:54.921,328.568,26.036,793.488
40,AntenaLDTEA,23 Dec 2023 16:19:54.921,2.942,24.658,824.113
