Pass Number,Observer,Time (UTCGregorian),Azimuth (deg),Elevation (deg),Range (km)
1,AntenaLDTEA,18 Dec 2023 09:38:59.580,357.268,7.000,1621.970
1,AntenaLDTEA,18 Dec 2023 09:39:59.580,12.668,8.612,1506.965
1,AntenaLDTEA,18 Dec 2023 09:40:59.580,29.403,8.677,1502.037
1,AntenaLDTEA,18 Dec 2023 09:41:59.580,44.998,7.161,1608.318
1,AntenaLDTEA,18 Dec 2023 09:42:04.049,46.058,7.000,1620.217
2,AntenaLDTEA,18 Dec 2023 11:15:07.594,307.998,7.000,1620.097
2,AntenaLDTEA,18 Dec 2023 11:16:07.594,315.055,12.940,1251.314
2,AntenaLDTEA,18 Dec 2023 11:17:07.594,328.345,21.289,924.639
2,AntenaLDTEA,18 Dec 2023 11:18:07.594,356.125,31.115,703.763
2,AntenaLDTEA,18 Dec 2023 11:19:07.594,38.465,31.390,698.835
2,AntenaLDTEA,18 Dec 2023 11:20:07.594,66.991,21.627,913.429
2,AntenaLDTEA,18 Dec 2023 11:21:07.594,80.633,13.159,1237.701
2,AntenaLDTEA,18 Dec 2023 11:22:07.594,87.824,7.139,1605.694
2,AntenaLDTEA,18 Dec 2023 11:22:09.226,87.970,7.000,1616.026
3,AntenaLDTEA,18 Dec 2023 12:53:08.244,277.123,7.000,1617.046
3,AntenaLDTEA,18 Dec 2023 12:54:08.244,275.356,13.574,1217.187
3,AntenaLDTEA,18 Dec 2023 12:55:08.244,271.687,24.579,834.344
3,AntenaLDTEA,18 Dec 2023 12:56:08.244,259.061,48.104,511.697
3,AntenaLDTEA,18 Dec 2023 12:57:08.244,149.427,65.669,424.792
3,AntenaLDTEA,18 Dec 2023 12:58:08.244,114.579,32.928,672.518
3,AntenaLDTEA,18 Dec 2023 12:59:08.244,108.702,17.764,1037.395
3,AntenaLDTEA,18 Dec 2023 13:00:08.244,106.307,9.653,1431.647
3,AntenaLDTEA,18 Dec 2023 13:00:35.354,105.624,7.000,1613.402
4,AntenaLDTEA,18 Dec 2023 14:31:40.997,256.655,7.000,1614.034
4,AntenaLDTEA,18 Dec 2023 14:32:40.997,250.585,13.146,1235.742
4,AntenaLDTEA,18 Dec 2023 14:33:40.997,238.827,22.276,892.194
4,AntenaLDTEA,18 Dec 2023 14:34:40.997,211.327,34.832,644.168
4,AntenaLDTEA,18 Dec 2023 14:35:40.997,161.550,36.596,620.827
4,AntenaLDTEA,18 Dec 2023 14:36:40.997,129.763,24.198,841.137
4,AntenaLDTEA,18 Dec 2023 14:37:40.997,116.367,14.394,1174.675
4,AntenaLDTEA,18 Dec 2023 14:38:40.997,109.671,7.866,1549.104
4,AntenaLDTEA,18 Dec 2023 14:38:50.761,108.893,7.000,1611.929
5,AntenaLDTEA,18 Dec 2023 16:10:05.558,250.592,7.000,1612.052
5,AntenaLDTEA,18 Dec 2023 16:11:05.558,245.565,13.311,1225.989
5,AntenaLDTEA,18 Dec 2023 16:12:05.558,235.550,23.102,868.761
5,AntenaLDTEA,18 Dec 2023 16:13:05.558,209.358,38.516,597.394
5,AntenaLDTEA,18 Dec 2023 16:14:05.558,150.763,42.328,557.748
5,AntenaLDTEA,18 Dec 2023 16:15:05.558,116.131,26.576,785.821
5,AntenaLDTEA,18 Dec 2023 16:16:05.558,103.645,15.411,1129.125
5,AntenaLDTEA,18 Dec 2023 16:17:05.558,97.764,8.426,1510.177
5,AntenaLDTEA,18 Dec 2023 16:17:21.123,96.721,7.000,1611.815
6,AntenaLDTEA,18 Dec 2023 17:48:20.209,259.681,7.000,1611.429
6,AntenaLDTEA,18 Dec 2023 17:49:20.209,261.027,13.619,1210.618
6,AntenaLDTEA,18 Dec 2023 17:50:20.209,263.983,24.780,826.562
6,AntenaLDTEA,18 Dec 2023 17:51:20.209,274.806,49.146,502.706
6,AntenaLDTEA,18 Dec 2023 17:52:20.209,34.349,67.113,419.335
6,AntenaLDTEA,18 Dec 2023 17:53:20.209,64.650,32.819,672.930
